iter	Passed	Remaining
0	1	121
1	2	108
2	3	102
3	3	95
4	5	95
5	5	93
6	6	92
7	7	90
8	8	89
9	9	88
10	10	88
11	12	88
12	13	88
13	14	88
14	15	88
15	16	87
16	17	85
17	18	84
18	19	83
19	20	81
20	21	80
21	22	79
22	23	78
23	24	77
24	25	76
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
